figure_id,class,scientific_question,quantity_kind,support_classification,model_labels,representations,pdf_path,pdf_sha256,png_path,png_sha256,csv_path,csv_sha256,json_sidecar_path,draft_caption
ML2_objective_training_evaluation_history_test2b,supplement,"For each nonrecursive training objective, how does the same objective behave on the training and later evaluation portions of the Test-2B trajectory?",OBJECTIVE-CONSISTENT SAVED-NETWORK EVALUATION,Test 2B training states/windows and temporally later evaluation states/windows; evaluation values did not influence optimization,M1-X; M1-Y; M2-X-independent; warm M2-X; H1,A; B; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML2_objective_training_evaluation_history_test2b.pdf,21acafc3db2f31144c6a7d43b31b15d83f34fe136efab28c0d0296109c20cf41,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML2_objective_training_evaluation_history_test2b.png,f99766f06f5c37557c053fe14d3b4193cb3ca49fa319404fa95108c874090646,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML2_objective_training_evaluation_history_test2b.csv,316f2d0b98c542b638efd72e85e4aef77ac3857fb334bccf0f87c230ea7864b4,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML2_objective_training_evaluation_history_test2b.json,"Objective-consistent histories for the nonrecursive Test 2B objectives. Solid curves use the training portion and dashed curves with open markers use the later evaluation portion; the evaluation curves were calculated from saved networks after optimization and did not influence training. M1-X and both M2-X runs are evaluated on timestep-boundary states X*, whereas M1-Y is evaluated on Y*=P(X*) and H1 uses fixed one-step pairs from Y* to the corresponding next truth state. Each evaluation curve uses the same normalization, output scaling, weighting, and normalized-target-energy formula as its fitted objective. Objective normalizations differ across representations. H2 and H5 are omitted because their recursive evaluation histories were not computed."
ML2_posthoc_direct_history_test2b_all_models,supplement,How does direct physical-quantity prediction evolve on training and held-out truth states?,POST-HOC CHECKPOINT EVALUATION,"Test 2B training truth support 0--80 and held-out truth support 81--160, evaluated at X",M1-X; M2-X-independent; warm M2-X; H1; H2; H5; M1-Y,A; B; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML2_posthoc_direct_history_test2b_all_models.pdf,0832ad79341d273f96e8677be1fc3fbed302c2c84c742322cb71d8694ad2d6f6,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML2_posthoc_direct_history_test2b_all_models.png,38c07ad4a9da61b097aaa28a653a07fd09dd22c7a2aaa5d1b2d31b5c17b2ee00,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML2_posthoc_direct_history_test2b_all_models.csv,bd8ef944d9ebdfce3f6f949744689eaa889ed7be1271edb6e54a92be9d1ec608,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML2_posthoc_direct_history_test2b_all_models.json,"Direct physical-law error during optimization for all seven Test 2B models. Solid curves show training states 0--80 and dashed curves show evaluation states 81--160. Evaluation errors were computed from saved networks, did not influence optimization, and are evaluated on timestep-boundary states X*."
ML3_m1x_m1y_cross_state_checkpoint_history,supplement,When during optimization does X/Y state specialization emerge?,POST-HOC CHECKPOINT EVALUATION,Separate Test 2B X/Y training truth support 0--80 and X/Y held-out truth support 81--160,M1-X; M1-Y,A; B; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML3_m1x_m1y_cross_state_checkpoint_history.pdf,2a7760e11ad26544493db1a40a3cc9799755df21f3327eda4a7885e9fbd66d44,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML3_m1x_m1y_cross_state_checkpoint_history.png,edfe905e74ef925c3f7a0b2ca4e4655c5fe15f8f7682e8e187abc783df3efa46,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML3_m1x_m1y_cross_state_checkpoint_history.csv,5e843b07ace4aa72077cc8f7550645fe0822005992a3e8f0eb658b77d326d6dd,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML3_m1x_m1y_cross_state_checkpoint_history.json,M1-X/M1-Y direct-error histories evaluated separately at X and Y. Training uses states 0--80 and evaluation uses states 81--160; evaluation states did not influence optimization. Each marker corresponds to an available saved network.
ML3_m1x_m1y_cross_state_final,supplement,How strongly does X-versus-Y evaluation location affect the fitted law?,POST-HOC FINAL CHECKPOINT EVALUATION,Separate X/Y evaluations on Test 2B training states 0--80 and evaluation states 81--160,M1-X; M1-Y,A; B; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML3_m1x_m1y_cross_state_final.pdf,51e5bfaf90e8bcb771ac3d403936fb1d752579fa33e339841b170e0d53343ea1,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML3_m1x_m1y_cross_state_final.png,9d673fc6e9aa3ea897523e428b2358a921f994ca9924984ef2832027edba171a,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML3_m1x_m1y_cross_state_final.csv,ea936095e82144ac00855ac1f4a164a97a423c7a5b896e7b1300f7bb605e4b1c,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML3_m1x_m1y_cross_state_final.json,"Matched Test 2B comparison of the final M1-X and M1-Y models. X denotes a timestep-boundary state and Y=P(X) the state immediately before moist physics. Training uses states 0--80 and evaluation uses states 81--160; the evaluation states did not influence optimization. The two models otherwise share the architecture, initialization, normalization, weighting, optimizer, and budget."
ML3_supplement_callsite_source_components,supplement,Which Representation C source components dominate the final Y* error?,FINAL FROZEN-NETWORK DIRECT PHYSICAL-LAW ERROR,Test 2B training/evaluation states at Y*=P(X*),M1-Y; H1; H2; H5,C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML3_supplement_callsite_source_components.pdf,d0218df7fc521c2afea494d328b27ef2115954ce42db414feaeede72db68fd93,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML3_supplement_callsite_source_components.png,94dac55932428de34b4468e0f8041ce0319b6d2c9fce0cdec43fa1e9702d6469,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML3_supplement_callsite_source_components.csv,2a756f9d51230bc415ad4cf8f97564cca0c7ec01a63afcb2c196faff7a41f626,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML3_supplement_callsite_source_components.json,Representation C source-component errors at truth-derived pre-moist states Y*. Filled points show training states 0--80 and open points show evaluation states 81--160. All values use the frozen carrier weighting and output scales.
ML4_frozen_model_objective_matrix_test2a,supplement,Which cross-objective endpoint evaluations exist for Test 2A?,FITTED FINAL OBJECTIVE and POST-HOC DIAGNOSTIC OBJECTIVE,Test 2A training support 0--80 only,M1-X; M2-X-independent; warm M2-X; H1; H2; H5,A; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML4_frozen_model_objective_matrix_test2a.pdf,fa80c87c2fcedecdd4f1494848815aedb1e342a4e8d8978626b7e360c1931e3a,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML4_frozen_model_objective_matrix_test2a.png,0a5741d05036f66fae709c81bb65144c702470e032133a7c55d06d9ee74fc86c,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML4_frozen_model_objective_matrix_test2a.csv,cb63bdef9818de8e129b096a01f71239a8b9333414be935b97740728f56e0723,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML4_frozen_model_objective_matrix_test2a.json,Test 2A objective matrix on training states. A red outline and asterisk mark the objective minimized for each row; other values evaluate that fixed model under another objective. M1-Y was not part of Test 2A.
ML4_frozen_model_objective_matrix_test2b,supplement,How does each final model score under the other objectives?,FITTED FINAL OBJECTIVE and POST-HOC DIAGNOSTIC OBJECTIVE,Test 2B objective-specific training states 0--80,M1-X; M1-Y; M2-X-independent; warm M2-X; H1; H2; H5,A; B; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML4_frozen_model_objective_matrix_test2b.pdf,dfcc2d1146492ebe576922736b1d6eec8ada7d9cca9334a0c22923a3a390c411,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML4_frozen_model_objective_matrix_test2b.png,2951a2028ea24fea4783a8c81dee7804ce808bef98de006f463428e1c5b6ca81,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML4_frozen_model_objective_matrix_test2b.csv,cb5727061f6f27ed15cc6b8c57558742773b3002cf9681b37310f25fa1606d6a,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML4_frozen_model_objective_matrix_test2b.json,"Test 2B objective matrix for the final models. The red outline and asterisk mark the objective minimized for each row; all other populated cells evaluate that fixed model under a different objective. Each representation has an independent color scale, so colors should not be compared between panels."
ML5_deployed_physical_diagnostics_test2b,supplement,Which physical properties remain accurate after model deployment?,FINAL STORED DEPLOYMENT DIAGNOSTIC,"Test 2B deployed trajectories, states 0--160",M1-X; M1-Y; M2-X-independent; warm M2-X; H1; H2; H5,A; B; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML5_deployed_physical_diagnostics_test2b.pdf,d02339fe5ef37fa58791ee140cc634098812684cb6e3623190c51252bd1c3633,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML5_deployed_physical_diagnostics_test2b.png,f6ed5ff8a7c7c0fcb22292da92ff5b98cc52c60f15c25964d00f7f2b8024e2ed,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML5_deployed_physical_diagnostics_test2b.csv,401b018e6a070a9281453948ee4576144479621120b7103a1d289a266faaf18e,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML5_deployed_physical_diagnostics_test2b.json,Physical diagnostics after deploying the 21 Test 2B models. Points identify separate trained models and are not connected as a continuous path. Representations A and B impose the water and thermodynamic source identities by construction; their roundoff-scale water drift is therefore not evidence that conservation was learned. Representation C does not impose those identities. Moisture minima are finite-element coefficient minima rather than a pointwise positivity proof.
ML5_representation_c_source_structure,supplement,How far do unconstrained C sources depart from the analytical source identities after deployment?,LEARNED / NOT ENFORCED DEPLOYMENT DIAGNOSTIC,"Test 2B deployed autonomous trajectories, states 0--160",M1-X; M1-Y; M2-X-independent; warm M2-X; H1; H2; H5,C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML5_representation_c_source_structure.pdf,518ae68a01e2a4d283fc7cff535f98afbdbae54c9f20c3f9bd83229f6c44d6b3,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML5_representation_c_source_structure.png,9e4c1d54cf5ba20f62c299d98640fc125c0b7f7347321ed19c9d2d00817b6d16,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML5_representation_c_source_structure.csv,0c0b604ee998aeb28075a330c819b802c8e64d1139ff09501aa087409fb72326,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML5_representation_c_source_structure.json,Representation C source-identity defects after Test 2B deployment. The water and thermodynamic source identities are imposed by construction in Representations A and B and are therefore not shown as learned quantities.
ML6_global_trajectories_representation_A,supplement,Do deployed models reproduce the global physical evolution?,FINAL STORED DEPLOYMENT DIAGNOSTIC,"Test 2B deployed trajectories, states 0--160",M1-X; H1; H5; M1-Y,A,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_A.pdf,861f6f29f9d60846c4a5a9acbf253c088d4e66dda37f309ab95e650cbd165609,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_A.png,304697bdfc2a3ad61aa8322f2e0dd7e658c3a4a40adb19c8a26ed3bb0c20d355,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_A.csv,520077f0dadf7f514bb3aa400cfe31483356a4f17fe2b7a5763577749300833f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_A.json,Global Test 2B trajectories for Representation A. Integrated cloud and rain water are shown in m^3 under the unit-reference-density convention. Kinetic energy is 0.5 integral h|v|^2 dA and is not total energy; projected relative-vorticity squared is 0.5 integral zeta_h^2 dA after CG(3) projection and is not potential enstrophy. Vertical guides mark first truth rain at 5100 s and peak integrated truth rain production at 12000 s. The last panel shows final and maximum state errors because a state-error time series is not available in the accepted records.
ML6_global_trajectories_representation_A_all_models,supplement,Do frozen deployed models reproduce long-time global physical evolution?,FINAL STORED DEPLOYMENT DIAGNOSTIC,"Test 2B deployed trajectories, states 0--160; truth events at 5100 and 12000 s",M1-X; M2-X-independent; warm M2-X; H1; H2; H5; M1-Y,A,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_A_all_models.pdf,8516c656345ebfdbea7d9879e9ac0a51765833ef50682c4d68dd1a5e8a506cdc,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_A_all_models.png,ee014fec9d19c75e5391f01aa1dff78a2009a3a4ea5be0021125a2f335c74d45,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_A_all_models.csv,2900f520ee675cc6c5f901b6e128ef111e0c3077673e79cf118c6fa8d5bf35b4,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_A_all_models.json,"Global Test 2B trajectories for all seven Representation A models. Integrated cloud and rain water use m^3 under unit reference density. Kinetic energy is not total energy, and projected relative-vorticity squared is not potential enstrophy."
ML6_global_trajectories_representation_B,supplement,Do deployed models reproduce the global physical evolution?,FINAL STORED DEPLOYMENT DIAGNOSTIC,"Test 2B deployed trajectories, states 0--160",M1-X; H1; H5; M1-Y,B,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_B.pdf,d1269ef6133a6328b44ad96b030245c0261d3f0765aa40056f43d25d1015fe39,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_B.png,2df11c14985a09f11a7f5f1c246ba209caf054b2b62f88d250e7013b980af61f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_B.csv,5c5b1834fd5e4745c8bbaee35384a5a55675a4d4899eb79f62f6748a13f1125f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_B.json,Global Test 2B trajectories for Representation B. Integrated cloud and rain water are shown in m^3 under the unit-reference-density convention. Kinetic energy is 0.5 integral h|v|^2 dA and is not total energy; projected relative-vorticity squared is 0.5 integral zeta_h^2 dA after CG(3) projection and is not potential enstrophy. Vertical guides mark first truth rain at 5100 s and peak integrated truth rain production at 12000 s. The last panel shows final and maximum state errors because a state-error time series is not available in the accepted records.
ML6_global_trajectories_representation_B_all_models,supplement,Do frozen deployed models reproduce long-time global physical evolution?,FINAL STORED DEPLOYMENT DIAGNOSTIC,"Test 2B deployed trajectories, states 0--160; truth events at 5100 and 12000 s",M1-X; M2-X-independent; warm M2-X; H1; H2; H5; M1-Y,B,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_B_all_models.pdf,93626b3195c4ccc2f61d9070c7ea34f6fd00061ad9ba1e7e60ca129c7ba78729,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_B_all_models.png,2a9bb2699d09a383db37d3d125bd1a37d56f2ee1f68762997f4b35073ca00268,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_B_all_models.csv,a5bc3db61a69614480ac5eaf85b895f043cf67510053ab372d3697b6ef16f5c0,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_B_all_models.json,"Global Test 2B trajectories for all seven Representation B models. Integrated cloud and rain water use m^3 under unit reference density. Kinetic energy is not total energy, and projected relative-vorticity squared is not potential enstrophy."
ML6_global_trajectories_representation_C,supplement,Do deployed models reproduce the global physical evolution?,FINAL STORED DEPLOYMENT DIAGNOSTIC,"Test 2B deployed trajectories, states 0--160",M1-X; H1; H5; M1-Y,C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_C.pdf,4149ad961467a7c3f29cab2451a68df7e9edc9e7e2e46d95c06d155d76eb9f2e,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_C.png,01fae1631cd886c80f59ed970f925795808f78dc767ed654b3e2af87365311ba,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_C.csv,cf6ae20cb48fbd4eaaf69116d1fc697e33482aa098ece449b766c3478dfb2c52,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_C.json,Global Test 2B trajectories for Representation C. Integrated cloud and rain water are shown in m^3 under the unit-reference-density convention. Kinetic energy is 0.5 integral h|v|^2 dA and is not total energy; projected relative-vorticity squared is 0.5 integral zeta_h^2 dA after CG(3) projection and is not potential enstrophy. Vertical guides mark first truth rain at 5100 s and peak integrated truth rain production at 12000 s. The last panel shows final and maximum state errors because a state-error time series is not available in the accepted records.
ML6_global_trajectories_representation_C_all_models,supplement,Do frozen deployed models reproduce long-time global physical evolution?,FINAL STORED DEPLOYMENT DIAGNOSTIC,"Test 2B deployed trajectories, states 0--160; truth events at 5100 and 12000 s",M1-X; M2-X-independent; warm M2-X; H1; H2; H5; M1-Y,C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_C_all_models.pdf,348a413de4b4a8d4bc2fea5b356995b491b135c4c29b0bdf86d72a77ede94184,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_C_all_models.png,935da4d549996ad1f168ae11cd680759ea5fbbe937f108731599a9c233f9be8f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_C_all_models.csv,89abe564c62a78f9707b230d86305c82817dc76568d7c9bc2372119c9996ad8f,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML6_global_trajectories_representation_C_all_models.json,"Global Test 2B trajectories for all seven Representation C models. Integrated cloud and rain water use m^3 under unit reference density. Kinetic energy is not total energy, and projected relative-vorticity squared is not potential enstrophy."
ML_test2a_training_interval_deployment,supplement,How do the accepted Test 2A precursor models behave over their recorded training interval?,FINAL STORED DEPLOYMENT DIAGNOSTIC,"Test 2A training-interval deployment, states 0--80 only",M1-X; M2-X-independent; warm M2-X; H1; H2; H5,A; C,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML_test2a_training_interval_deployment.pdf,1f6c5e0620030aa577926a6ddb21a9ca489ff681cebabfc8c65e3ed61d8b5339,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML_test2a_training_interval_deployment.png,6c18f43c53280e4a2de4ba5209331518a3169caea8424a396760dff21dafb41b,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML_test2a_training_interval_deployment.csv,e70e9b2144d4c765f654edb091cd6214f02a9e3cf4ebd55c3e7d93196c1475a3,/Users/arjunsharma/Documents/SandiaProjects/4-LDRDAMDIS/DIMSWE-feature-study-20260828/ml_results_postprocess_20260829/figures/supplement/ML_test2a_training_interval_deployment.json,"Test 2A deployed diagnostics over training states 0--80. The figure uses the available state-error endpoints, kinetic energy, and projected relative-vorticity-squared diagnostics for the A/C model ladders. States 81--160 are not evaluated."
